Name,Genres,Studios,Synopsis,Score,Image URL
Jobless Reincarnation,"Fantasy, Isekai, Drama",Studio Bind,A jobless man is reincarnated in a fantasy world with a chance to start over.,8.3,https://cdn.myanimelist.net/images/anime/1890/110036.jpg
The Rising of the Shield Hero,"Action, Drama, Fantasy",Kinema Citrus,"A man is summoned as a hero but falsely accused, and must rise alone.",8,https://cdn.myanimelist.net/images/anime/1122/96435.jpg
ReLIFE,"Drama, Romance, Slice of Life",TMS Entertainment,A 27-year-old gets a second chance at high school to fix his life.,8,https://cdn.myanimelist.net/images/anime/2/80579.jpg
Fruits Basket (2019),"Drama, Romance, Supernatural",TMS Entertainment,A girl discovers her classmates turn into animals of the zodiac.,8.7,https://cdn.myanimelist.net/images/anime/1519/100633.jpg
Violet Evergarden,"Drama, Slice of Life",Kyoto Animation,A former soldier learns to live and love again through writing letters.,8.9,https://cdn.myanimelist.net/images/anime/1804/104332.jpg
Made in Abyss,"Adventure, Fantasy",Kinema Citrus,A girl and a mysterious boy descend into a deep abyss to find her mother.,8.7,https://cdn.myanimelist.net/images/anime/6/86733.jpg
Ranking of Kings,"Fantasy, Drama",Wit Studio,A deaf prince seeks recognition in a world that underestimates him.,8.7,https://cdn.myanimelist.net/images/anime/1550/117892.jpg
Death Parade,"Drama, Psychological",Madhouse,People are judged in a mysterious bar after death.,8.2,https://m.media-amazon.com/images/M/MV5BODRkMDEyZTItYjAzNS00Y2E2LThlNGItYjAxZjhjMDlmMjk3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Black Clover,"Action, Fantasy",Pierrot,A magicless boy strives to become the Wizard King.,8.1,https://cdn.myanimelist.net/images/anime/2/88336.jpg
The Devil is a Part-Timer!,"Comedy, Fantasy",White Fox,A demon lord is trapped on Earth and works at a fast food joint.,7.8,https://cdn.myanimelist.net/images/anime/5/48839.jpg
Parasyte: The Maxim,"Horror, Sci-Fi",Madhouse,A teenager and a parasitic alien must work together.,8.4,https://cdn.myanimelist.net/images/anime/3/73178.jpg
One Punch Man,"Action, Comedy",Madhouse,A hero defeats all enemies with one punch but seeks a worthy fight.,8.5,https://cdn.myanimelist.net/images/anime/12/76049.jpg
Fairy Tail,"Action, Adventure, Fantasy",A-1 Pictures,Wizards from a legendary guild go on wild missions.,7.9,https://m.media-amazon.com/images/M/MV5BODlhNTQ3ZDgtMDJlMC00YzdmLWE3ZTMtOWNmMTZkN2I2MzI5XkEyXkFqcGc@._V1_.jpg
Sword Art Online,"Action, Fantasy",A-1 Pictures,Players are trapped inside a deadly virtual reality MMORPG.,7.2,https://cdn.myanimelist.net/images/anime/11/39717.jpg
Assassination Classroom,"Action, Comedy",Lerche,Students must kill their alien teacher before he destroys Earth.,8.3,https://cdn.myanimelist.net/images/anime/5/75639.jpg
Blue Exorcist,"Action, Supernatural",A-1 Pictures,A boy discovers he's the son of Satan and fights to stop evil.,7.7,https://cdn.myanimelist.net/images/anime/3/73178.jpg
Charlotte,"Drama, Supernatural",P.A. Works,Teenagers with superpowers are hunted by the government.,7.9,https://cdn.myanimelist.net/images/anime/10/79459.jpg
The Great Pretender,"Comedy, Action",Wit Studio,A con artist targets powerful criminals around the world.,8.3,https://cdn.myanimelist.net/images/anime/1709/107223.jpg
Devilman Crybaby,"Action, Horror",Science SARU,A teen gains demonic powers to fight evil in a brutal world.,7.9,https://m.media-amazon.com/images/M/MV5BMjRjOGI4M2YtMGQ4NC00OTk3LTg4MWItYjBjYzNiOGI0Y2ZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Psycho-Pass,"Sci-Fi, Thriller",Production I.G,A cop questions justice in a society controlled by AI.,8.4,https://cdn.myanimelist.net/images/anime/5/43399.jpg
Bungo Stray Dogs,"Action, Supernatural",Bones,Literary-named detectives with powers solve mysteries.,7.8,https://cdn.myanimelist.net/images/anime/3/79410.jpg
The Ancient Magus' Bride,"Fantasy, Romance",Wit Studio,A girl is sold to a mysterious mage who makes her his apprentice.,8,https://cdn.myanimelist.net/images/anime/3/88469.jpg
Mushoku Tensei,"Fantasy, Drama",Studio Bind,A reincarnated man resolves to live his new magical life right.,8.5,https://cdn.myanimelist.net/images/anime/1984/110036.jpg
Trigun Stampede,"Sci-Fi, Action",Orange,A remake of the classic Western-style anime with a fresh 3D look.,7.8,https://cdn.myanimelist.net/images/anime/1233/131483.jpg
Lycoris Recoil,"Action, Slice of Life",A-1 Pictures,Schoolgirl assassins keep the peace in Tokyo.,8.2,https://cdn.myanimelist.net/images/anime/1863/123462.jpg
Ousama Ranking (Ranking of Kings),"Fantasy, Drama",Wit Studio,A deaf prince proves his strength against all odds.,8.7,https://cdn.myanimelist.net/images/anime/1550/117892.jpg
Hell’s Paradise,"Action, Fantasy",MAPPA,Criminals are sent to a mysterious island for a chance at pardon.,8.3,https://m.media-amazon.com/images/M/MV5BZjhmMjhkNjUtMGU2MC00N2IzLTg1YzItZDk5ODMxMDYxODc0XkEyXkFqcGc@._V1_.jpg
Takt Op. Destiny,"Action, Fantasy, Music","Madhouse, MAPPA",Music is weaponized against monsters in a dystopian world.,7.5,https://cdn.myanimelist.net/images/anime/1010/117878.jpg
Tokyo Ghoul,"Action, Horror",Pierrot,A student becomes half-ghoul and struggles to retain his humanity.,7.8,https://cdn.myanimelist.net/images/anime/5/64449.jpg
Gurren Lagann,"Action, Mecha",Gainax,Underground humans fight to break free and reach the surface.,8.7,https://cdn.myanimelist.net/images/anime/4/5123.jpg
One Piece,"Action, Adventure",Toei Animation,Luffy sails the seas seeking the One Piece treasure.,8.7,https://cdn.myanimelist.net/images/anime/6/73245.jpg
Naruto Shippuden,"Action, Adventure",Pierrot,Naruto returns to protect his village and save his friend.,8.3,https://cdn.myanimelist.net/images/anime/5/17407.jpg
Bleach: Thousand-Year Blood War,"Action, Supernatural",Pierrot,Ichigo returns to fight against a deadly enemy of Soul Society.,8.9,https://upload.wikimedia.org/wikipedia/en/a/a2/Bleach_Thousand-Year_Blood_War.png
Ao Ashi,"Sports, Drama",Production I.G,A young soccer player dreams of becoming a pro.,8.2,https://m.media-amazon.com/images/M/MV5BZTAwNDJjMGMtZGExNy00ZDZlLTlmYTMtZWNlNDc5MDRlZGVhXkEyXkFqcGc@._V1_.jpg
Haikyuu!!,"Sports, School",Production I.G,A short boy dreams of becoming a great volleyball player.,8.7,https://cdn.myanimelist.net/images/anime/7/76014.jpg
Slam Dunk (Movie),"Sports, Drama",Toei Animation,A high school basketball team rises to greatness.,9,https://m.media-amazon.com/images/M/MV5BNjIyYjg4YWUtNTM2OS00YTc3LWE5NTEtZTdmMDdiMzE1OGJjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Koe no Katachi (A Silent Voice),"Drama, School",Kyoto Animation,A boy seeks redemption after bullying a deaf girl.,9,https://cdn.myanimelist.net/images/anime/1122/96435.jpg
Weathering With You,"Romance, Fantasy",CoMix Wave Films,A boy meets a girl who can control the weather.,8.3,https://cdn.myanimelist.net/images/anime/4/99955.jpg
Suzume,"Fantasy, Drama",CoMix Wave Films,A girl journeys to close magical doors and prevent disasters.,8.4,https://cdn.myanimelist.net/images/anime/1345/134552.jpg
Your Name.,"Romance, Supernatural",CoMix Wave Films,A boy and girl switch bodies across time and space.,9,https://cdn.myanimelist.net/images/anime/5/87048.jpg
I Want to Eat Your Pancreas,"Drama, Romance",Studio VOLN,A dying girl befriends a classmate in her final days.,8.6,https://cdn.myanimelist.net/images/anime/1632/100592.jpg
Belle,"Music, Sci-Fi",Studio Chizu,A shy girl becomes a pop star in a virtual world.,8,https://cdn.myanimelist.net/images/anime/1772/121484.jpg
